ShortRead_sample_id,LongRead_sample_id,ShortRead_isolate_name,LongRead_isolate_name
Chi_Caur_16,Chi_Caur_nano_16,CaTO_536,CaTO_536
Chi_Caur_19,Chi_Caur_nano_19,CaTO_539,CaTO_539
Chi_Caur_25,Chi_Caur_nano_25,CaTO_545,CaTO_545
Chi_Caur_18,Chi_Caur_nano_18,CaTO_538,CaTO_538
Chi_Caur_14,Chi_Caur_nano_14,CaTO_534,CaTO_534
Chi_Caur_13,Chi_Caur_nano_13,CaTO_533,CaTO_533
Chi_Caur_11,Chi_Caur_nano_11,CaTO_531,CaTO_531
Chi_Caur_30,Chi_Caur_nano_27,CaTO_515,CaTO_515
Chi_Caur_31,Chi_Caur_nano_28,CaTO_516,CaTO_516
Chi_Caur_3,Chi_Caur_nano_3,CaTO_523,CaTO_523
Chi_Caur_7,Chi_Caur_nano_7,CaTO_527,CaTO_527
Chi_Caur_34,Chi_Caur_nano_31,CaTO_519,CaTO_519
Chi_Caur_4,Chi_Caur_nano_4,CaTO_524,CaTO_524
Chi_Caur_22,Chi_Caur_nano_22,CaTO_542,CaTO_542
Chi_Caur_8,Chi_Caur_nano_8,CaTO_528,CaTO_528
Chi_Caur_32,Chi_Caur_nano_29,CaTO_517,CaTO_517
Chi_Caur_29,Chi_Caur_nano_26,CaTO_514,CaTO_514
Chi_Caur_12,Chi_Caur_nano_12,CaTO_532,CaTO_532
Chi_Caur_10,Chi_Caur_nano_10,CaTO_530,CaTO_530
Chi_Caur_33,Chi_Caur_nano_30,CaTO_518,CaTO_518
Chi_Caur_5,Chi_Caur_nano_5,CaTO_525,CaTO_525
Chi_Caur_15,Chi_Caur_nano_15,CaTO_535,CaTO_535
Chi_Caur_17,Chi_Caur_nano_17,CaTO_537,CaTO_537
Chi_Caur_23,Chi_Caur_nano_23,CaTO_543,CaTO_543
